recno,M1,M2,R2,Per,Sep,logJ,logjsys,logjmg,logjgr,logjca,logjtot,logMLR2,zeta,logT2,log(g2),logL2,Pdot,logt,logt0,Step,Teff2,UxMag,BxMag,BMag,VMag,RMag,IMag,JMag,HMag,KMag,LMag,L'Mag,M'Mag,X,SpT
1313,0.75,0.342,0.412,4.0674,1.327,51.233,35.352,35.344,33.608,34.545,35.415,-8.803,0.66,3.541,4.743,31.933,-9.35E-13,7.99305,7.99261,635000.0,3475,13.25,11.87,11.9,10.61,9.67,8.4,7.0,6.42,6.17,5.98,5.91,6.04,16.71,M3.3
1314,0.75,0.343,0.413,4.0726,1.328,51.234,35.354,35.346,33.609,34.551,35.418,-8.804,0.654,3.541,4.742,31.935,-9.88E-13,7.99024,7.9898,636000.0,3475,13.24,11.87,11.9,10.61,9.67,8.4,7.0,6.42,6.17,5.98,5.91,6.03,16.71,M3.3
1315,0.75,0.344,0.413,4.0781,1.33,51.236,35.356,35.348,33.61,34.551,35.419,-8.8,0.672,3.542,4.742,31.937,-9.63E-13,7.9874,7.98696,630000.0,3483,13.21,11.84,11.88,10.59,9.65,8.38,6.99,6.41,6.16,5.97,5.9,6.03,16.76,M3.2
1316,0.75,0.345,0.414,4.0834,1.331,51.237,35.358,35.35,33.611,34.558,35.422,-8.798,0.662,3.542,4.741,31.94,-9.8E-13,7.98458,7.98413,628000.0,3483,13.21,11.84,11.87,10.58,9.64,8.38,6.98,6.41,6.15,5.97,5.9,6.03,16.75,M3.2
1317,0.75,0.346,0.415,4.0888,1.333,51.238,35.36,35.352,33.612,34.562,35.424,-8.796,0.667,3.542,4.741,31.942,-9.94E-13,7.98174,7.98129,626000.0,3483,13.2,11.83,11.87,10.58,9.64,8.37,6.98,6.4,6.15,5.96,5.89,6.02,16.75,M3.2
1318,0.75,0.347,0.416,4.0943,1.335,51.24,35.362,35.354,33.613,34.565,35.427,-8.793,0.671,3.542,4.74,31.944,-9.83E-13,7.9789,7.97844,621000.0,3483,13.2,11.83,11.86,10.57,9.63,8.37,6.97,6.4,6.14,5.96,5.89,6.01,16.75,M3.2
1319,0.75,0.348,0.417,4.0996,1.336,51.241,35.364,35.357,33.614,34.571,35.429,-8.793,0.666,3.542,4.74,31.947,-1.02E-12,7.97606,7.9756,621000.0,3483,13.19,11.82,11.85,10.57,9.63,8.36,6.97,6.39,6.14,5.95,5.88,6.01,16.75,M3.2
1320,0.75,0.349,0.417,4.1052,1.338,51.242,35.366,35.359,33.615,34.573,35.431,-8.787,0.678,3.542,4.74,31.949,-9.75E-13,7.9732,7.97274,613000.0,3483,13.19,11.82,11.85,10.57,9.63,8.36,6.97,6.39,6.14,5.95,5.88,6.01,16.75,M3.2
1321,0.75,0.35,0.418,4.1104,1.339,51.244,35.368,35.361,33.616,34.581,35.434,-8.789,0.66,3.543,4.739,31.951,-1.05E-12,7.97036,7.96989,616000.0,3491,13.16,11.79,11.83,10.54,9.6,8.34,6.95,6.38,6.13,5.94,5.87,6.0,16.8,M3.2
1322,0.75,0.351,0.419,4.1161,1.341,51.245,35.37,35.363,33.617,34.58,35.436,-8.786,0.685,3.543,4.739,31.954,-1.03E-12,7.96749,7.96702,611000.0,3491,13.16,11.79,11.82,10.53,9.6,8.34,6.95,6.37,6.12,5.94,5.87,6.0,16.8,M3.2
1323,0.75,0.352,0.42,4.1216,1.342,51.246,35.372,35.365,33.617,34.586,35.438,-8.783,0.677,3.543,4.738,31.956,-1.03E-12,7.96462,7.96414,607000.0,3491,13.15,11.78,11.82,10.53,9.59,8.33,6.94,6.37,6.12,5.93,5.86,5.99,16.8,M3.2
1324,0.75,0.353,0.421,4.1271,1.344,51.247,35.374,35.367,33.618,34.591,35.44,-8.781,0.676,3.543,4.738,31.958,-1.03E-12,7.96174,7.96127,604000.0,3491,13.15,11.78,11.81,10.52,9.59,8.33,6.94,6.36,6.11,5.92,5.86,5.99,16.8,M3.2
1325,0.75,0.354,0.421,4.1325,1.346,51.249,35.376,35.369,33.619,34.596,35.443,-8.779,0.676,3.543,4.737,31.961,-1.04E-12,7.95887,7.95839,601000.0,3491,13.15,11.78,11.81,10.52,9.59,8.33,6.94,6.36,6.11,5.92,5.86,5.99,16.79,M3.2
1326,0.75,0.355,0.422,4.138,1.347,51.25,35.378,35.371,33.62,34.6,35.445,-8.777,0.678,3.544,4.737,31.963,-1.05E-12,7.95599,7.95551,598000.0,3499,13.12,11.75,11.78,10.5,9.56,8.31,6.93,6.35,6.1,5.91,5.85,5.98,16.84,M3.2
1327,0.75,0.356,0.423,4.1435,1.349,51.251,35.38,35.373,33.621,34.604,35.447,-8.776,0.678,3.544,4.737,31.965,-1.07E-12,7.95311,7.95262,597000.0,3499,13.11,11.74,11.78,10.49,9.56,8.3,6.92,6.34,6.09,5.91,5.84,5.97,16.84,M3.2
1328,0.75,0.357,0.424,4.1491,1.35,51.253,35.382,35.374,33.622,34.607,35.449,-8.772,0.685,3.544,4.736,31.968,-1.05E-12,7.95021,7.94972,591000.0,3499,13.11,11.74,11.77,10.49,9.55,8.3,6.92,6.34,6.09,5.9,5.84,5.97,16.84,M3.2
1329,0.75,0.358,0.425,4.1546,1.352,51.254,35.384,35.376,33.622,34.614,35.452,-8.771,0.676,3.544,4.736,31.97,-1.08E-12,7.94732,7.94683,590000.0,3499,13.1,11.73,11.77,10.48,9.55,8.29,6.91,6.33,6.08,5.9,5.83,5.96,16.84,M3.2
1330,0.75,0.359,0.425,4.1601,1.354,51.255,35.386,35.378,33.623,34.616,35.454,-8.767,0.685,3.544,4.735,31.972,-1.06E-12,7.94442,7.94392,585000.0,3499,13.1,11.73,11.77,10.48,9.55,8.29,6.91,6.33,6.08,5.9,5.83,5.96,16.84,M3.2
1331,0.75,0.36,0.426,4.1656,1.355,51.256,35.388,35.38,33.624,34.622,35.457,-8.766,0.677,3.544,4.735,31.975,-1.08E-12,7.94152,7.94102,583000.0,3499,13.1,11.73,11.76,10.48,9.54,8.29,6.91,6.33,6.08,5.89,5.83,5.96,16.84,M3.2
1332,0.75,0.361,0.427,4.1711,1.357,51.258,35.39,35.382,33.625,34.625,35.459,-8.762,0.683,3.544,4.734,31.977,-1.06E-12,7.93861,7.93811,578000.0,3499,13.09,11.72,11.76,10.47,9.54,8.28,6.9,6.32,6.07,5.89,5.82,5.95,16.84,M3.2
1333,0.75,0.362,0.428,4.1764,1.358,51.259,35.392,35.384,33.626,34.631,35.461,-8.761,0.674,3.545,4.734,31.979,-1.08E-12,7.93571,7.9352,577000.0,3508,13.06,11.7,11.73,10.44,9.51,8.26,6.89,6.31,6.06,5.88,5.81,5.94,16.88,M3.1
1334,0.75,0.363,0.429,4.1819,1.36,51.26,35.394,35.386,33.626,34.634,35.463,-8.758,0.682,3.545,4.734,31.981,-1.07E-12,7.93279,7.93229,573000.0,3508,13.06,11.69,11.72,10.44,9.51,8.26,6.88,6.3,6.06,5.87,5.81,5.94,16.88,M3.1
1335,0.75,0.364,0.429,4.1873,1.362,51.261,35.396,35.388,33.627,34.639,35.466,-8.755,0.677,3.545,4.733,31.983,-1.08E-12,7.92988,7.92937,569000.0,3508,13.06,11.69,11.72,10.44,9.51,8.26,6.88,6.3,6.06,5.87,5.81,5.94,16.88,M3.1
1336,0.75,0.365,0.43,4.1927,1.363,51.263,35.398,35.39,33.628,34.644,35.468,-8.753,0.677,3.545,4.733,31.986,-1.08E-12,7.92697,7.92645,566000.0,3508,13.05,11.69,11.72,10.43,9.5,8.25,6.88,6.3,6.05,5.87,5.8,5.93,16.88,M3.1
1337,0.75,0.366,0.431,4.1981,1.365,51.264,35.399,35.392,33.629,34.648,35.47,-8.751,0.678,3.545,4.732,31.988,-1.09E-12,7.92405,7.92353,564000.0,3508,13.05,11.68,11.71,10.43,9.5,8.25,6.87,6.29,6.05,5.86,5.8,5.93,16.88,M3.1
1338,0.75,0.367,0.432,4.2035,1.366,51.265,35.401,35.394,33.63,34.652,35.473,-8.748,0.68,3.545,4.732,31.99,-1.09E-12,7.92112,7.9206,560000.0,3508,13.04,11.68,11.71,10.42,9.49,8.24,6.87,6.29,6.04,5.86,5.79,5.92,16.88,M3.1
1339,0.75,0.368,0.433,4.2088,1.368,51.266,35.403,35.396,33.631,34.657,35.475,-8.747,0.677,3.545,4.731,31.992,-1.11E-12,7.91819,7.91767,559000.0,3508,13.04,11.67,11.7,10.42,9.49,8.24,6.86,6.28,6.04,5.85,5.79,5.92,16.88,M3.1
1340,0.75,0.369,0.433,4.2143,1.369,51.268,35.405,35.398,33.631,34.66,35.477,-8.744,0.683,3.546,4.731,31.994,-1.1E-12,7.91525,7.91472,555000.0,3516,13.02,11.65,11.68,10.4,9.47,8.22,6.86,6.28,6.03,5.85,5.78,5.91,16.92,M3.1
1341,0.75,0.37,0.434,4.2196,1.371,51.269,35.407,35.4,33.632,34.665,35.479,-8.743,0.679,3.546,4.731,31.996,-1.12E-12,7.91231,7.91178,553000.0,3516,13.01,11.64,11.68,10.39,9.47,8.22,6.85,6.27,6.03,5.84,5.78,5.91,16.92,M3.1
1342,0.75,0.371,0.435,4.2251,1.373,51.27,35.409,35.402,33.633,34.668,35.481,-8.74,0.683,3.546,4.73,31.999,-1.11E-12,7.90936,7.90883,550000.0,3516,13.01,11.64,11.67,10.39,9.46,8.21,6.85,6.27,6.02,5.84,5.77,5.9,16.91,M3.1
1343,0.75,0.372,0.436,4.2304,1.374,51.271,35.411,35.403,33.634,34.673,35.484,-8.739,0.68,3.546,4.73,32.001,-1.13E-12,7.90641,7.90587,548000.0,3516,13.0,11.63,11.67,10.38,9.46,8.21,6.84,6.26,6.02,5.83,5.77,5.9,16.91,M3.1
1344,0.75,0.373,0.437,4.2359,1.376,51.273,35.413,35.405,33.635,34.676,35.486,-8.735,0.686,3.546,4.729,32.003,-1.12E-12,7.90345,7.90291,544000.0,3516,13.0,11.63,11.66,10.38,9.45,8.2,6.84,6.26,6.01,5.83,5.76,5.89,16.91,M3.1
1345,0.75,0.374,0.437,4.2412,1.377,51.274,35.415,35.407,33.635,34.682,35.488,-8.735,0.68,3.546,4.729,32.005,-1.16E-12,7.90049,7.89994,543000.0,3516,13.0,11.63,11.66,10.38,9.45,8.2,6.84,6.26,6.01,5.83,5.76,5.89,16.91,M3.1
1346,0.75,0.375,0.438,4.2467,1.379,51.275,35.416,35.409,33.636,34.684,35.49,-8.731,0.69,3.546,4.728,32.007,-1.13E-12,7.89751,7.89696,539000.0,3516,12.99,11.62,11.66,10.37,9.45,8.2,6.83,6.25,6.01,5.82,5.76,5.89,16.91,M3.1
1347,0.75,0.376,0.439,4.2521,1.381,51.276,35.418,35.411,33.637,34.69,35.493,-8.73,0.682,3.547,4.728,32.009,-1.16E-12,7.89454,7.89398,537000.0,3524,12.97,11.6,11.63,10.35,9.42,8.18,6.82,6.24,5.99,5.81,5.75,5.88,16.95,M3.0
1348,0.75,0.377,0.44,4.2575,1.382,51.277,35.42,35.413,33.638,34.692,35.495,-8.728,0.689,3.547,4.728,32.012,-1.16E-12,7.89155,7.891,534000.0,3524,12.96,11.59,11.62,10.34,9.42,8.18,6.81,6.23,5.99,5.81,5.74,5.88,16.95,M3.0
1349,0.75,0.378,0.441,4.263,1.384,51.279,35.422,35.415,33.638,34.697,35.497,-8.726,0.687,3.547,4.727,32.014,-1.17E-12,7.88856,7.888,532000.0,3524,12.96,11.59,11.62,10.34,9.41,8.17,6.81,6.23,5.98,5.8,5.74,5.87,16.95,M3.0
1350,0.75,0.379,0.441,4.2684,1.385,51.28,35.424,35.417,33.639,34.701,35.499,-8.724,0.688,3.547,4.727,32.016,-1.17E-12,7.88557,7.885,530000.0,3524,12.96,11.59,11.62,10.34,9.41,8.17,6.81,6.23,5.98,5.8,5.74,5.87,16.95,M3.0
1351,0.75,0.38,0.442,4.2739,1.387,51.281,35.426,35.418,33.64,34.705,35.501,-8.721,0.69,3.547,4.726,32.018,-1.17E-12,7.88256,7.88199,526000.0,3524,12.95,11.58,11.61,10.33,9.41,8.17,6.8,6.22,5.98,5.8,5.73,5.87,16.95,M3.0
1352,0.75,0.381,0.443,4.2793,1.388,51.282,35.427,35.42,33.641,34.71,35.504,-8.721,0.687,3.547,4.726,32.02,-1.2E-12,7.87956,7.87898,526000.0,3524,12.95,11.58,11.61,10.33,9.4,8.16,6.8,6.22,5.97,5.79,5.73,5.86,16.95,M3.0
1353,0.75,0.382,0.444,4.2848,1.39,51.283,35.429,35.422,33.641,34.712,35.505,-8.717,0.696,3.547,4.725,32.022,-1.18E-12,7.87654,7.87596,521000.0,3524,12.94,11.57,11.6,10.32,9.4,8.16,6.79,6.21,5.97,5.79,5.72,5.86,16.95,M3.0
1354,0.75,0.383,0.445,4.2902,1.392,51.285,35.431,35.424,33.642,34.718,35.508,-8.716,0.688,3.548,4.725,32.025,-1.2E-12,7.87352,7.87293,520000.0,3532,12.91,11.54,11.58,10.3,9.37,8.14,6.78,6.2,5.96,5.78,5.72,5.85,16.99,M3.0
1355,0.75,0.384,0.445,4.2957,1.393,51.286,35.433,35.426,33.643,34.721,35.51,-8.714,0.693,3.548,4.725,32.027,-1.21E-12,7.87049,7.8699,518000.0,3532,12.91,11.54,11.58,10.3,9.37,8.14,6.78,6.2,5.96,5.78,5.72,5.85,16.99,M3.0
1356,0.75,0.385,0.446,4.3012,1.395,51.287,35.435,35.428,33.643,34.724,35.512,-8.711,0.695,3.548,4.724,32.029,-1.2E-12,7.86745,7.86686,514000.0,3532,12.91,11.54,11.57,10.29,9.37,8.13,6.78,6.19,5.95,5.77,5.71,5.84,16.99,M3.0
1357,0.75,0.386,0.447,4.3065,1.396,51.288,35.437,35.429,33.644,34.73,35.514,-8.71,0.689,3.548,4.724,32.031,-1.24E-12,7.86441,7.86381,513000.0,3532,12.9,11.54,11.57,10.29,9.37,8.13,6.77,6.19,5.95,5.77,5.71,5.84,16.99,M3.0
1358,0.75,0.387,0.448,4.3121,1.398,51.289,35.438,35.431,33.645,34.731,35.516,-8.707,0.7,3.548,4.723,32.033,-1.21E-12,7.86135,7.86075,509000.0,3532,12.9,11.53,11.56,10.28,9.36,8.12,6.77,6.19,5.94,5.77,5.7,5.83,16.99,M3.0
1359,0.75,0.388,0.449,4.3175,1.4,51.29,35.44,35.433,33.646,34.737,35.519,-8.705,0.692,3.548,4.723,32.035,-1.23E-12,7.8583,7.85769,507000.0,3532,12.89,11.53,11.56,10.28,9.36,8.12,6.76,6.18,5.94,5.76,5.7,5.83,16.99,M3.0
1360,0.75,0.389,0.449,4.323,1.401,51.292,35.442,35.435,33.646,34.741,35.521,-8.704,0.695,3.549,4.722,32.038,-1.24E-12,7.85523,7.85463,506000.0,3540,12.87,11.5,11.54,10.26,9.34,8.11,6.75,6.17,5.93,5.76,5.69,5.83,17.03,M3.0
1361,0.75,0.39,0.45,4.3285,1.403,51.293,35.444,35.437,33.647,34.744,35.523,-8.701,0.699,3.549,4.722,32.04,-1.24E-12,7.85216,7.85155,503000.0,3540,12.87,11.5,11.53,10.25,9.33,8.1,6.75,6.17,5.93,5.75,5.69,5.82,17.03,M3.0
1362,0.75,0.391,0.451,4.334,1.404,51.294,35.445,35.438,33.648,34.748,35.525,-8.699,0.697,3.549,4.721,32.042,-1.25E-12,7.84908,7.84846,500000.0,3540,12.86,11.49,11.53,10.25,9.33,8.1,6.74,6.16,5.92,5.75,5.68,5.82,17.03,M3.0
1363,0.75,0.392,0.452,4.3395,1.406,51.295,35.447,35.44,33.648,34.752,35.527,-8.697,0.699,3.549,4.721,32.044,-1.25E-12,7.84599,7.84537,498000.0,3540,12.86,11.49,11.52,10.24,9.32,8.09,6.74,6.16,5.92,5.74,5.68,5.81,17.03,M3.0
1364,0.75,0.393,0.453,4.3449,1.408,51.296,35.449,35.442,33.649,34.757,35.529,-8.695,0.697,3.549,4.721,32.046,-1.27E-12,7.8429,7.84228,496000.0,3540,12.85,11.48,11.52,10.24,9.32,8.09,6.73,6.15,5.91,5.74,5.67,5.81,17.03,M3.0
1365,0.75,0.394,0.453,4.3504,1.409,51.297,35.451,35.444,33.65,34.76,35.531,-8.694,0.701,3.549,4.72,32.048,-1.28E-12,7.8398,7.83917,494000.0,3540,12.85,11.48,11.52,10.24,9.32,8.09,6.73,6.15,5.91,5.74,5.67,5.81,17.03,M3.0
1366,0.75,0.395,0.454,4.356,1.411,51.299,35.452,35.446,33.65,34.763,35.533,-8.691,0.703,3.549,4.72,32.05,-1.27E-12,7.83668,7.83605,490000.0,3540,12.85,11.48,11.51,10.23,9.31,8.08,6.73,6.15,5.91,5.73,5.67,5.8,17.03,M3.0
1367,0.75,0.396,0.455,4.3614,1.412,51.3,35.454,35.447,33.651,34.769,35.536,-8.689,0.698,3.55,4.719,32.053,-1.28E-12,7.83357,7.83293,488000.0,3548,12.82,11.45,11.49,10.21,9.29,8.06,6.72,6.13,5.9,5.72,5.66,5.79,17.07,M2.9
1368,0.75,0.397,0.456,4.3669,1.414,51.301,35.456,35.449,33.652,34.772,35.538,-8.686,0.701,3.55,4.719,32.055,-1.28E-12,7.83044,7.8298,486000.0,3548,12.82,11.45,11.48,10.2,9.28,8.06,6.71,6.13,5.89,5.72,5.66,5.79,17.07,M2.9
1369,0.75,0.398,0.457,4.3723,1.416,51.302,35.458,35.451,33.652,34.776,35.54,-8.685,0.699,3.55,4.718,32.057,-1.3E-12,7.82732,7.82667,485000.0,3548,12.81,11.44,11.48,10.2,9.28,8.05,6.71,6.12,5.89,5.71,5.65,5.78,17.07,M2.9
1370,0.75,0.399,0.457,4.3779,1.417,51.303,35.459,35.453,33.653,34.779,35.542,-8.683,0.705,3.55,4.718,32.059,-1.29E-12,7.82417,7.82352,481000.0,3548,12.81,11.44,11.48,10.2,9.28,8.05,6.71,6.12,5.89,5.71,5.65,5.78,17.07,M2.9
1371,0.75,0.4,0.458,4.3833,1.419,51.304,35.461,35.454,33.654,34.784,35.544,-8.681,0.7,3.55,4.718,32.061,-1.31E-12,7.82103,7.82037,480000.0,3548,12.81,11.44,11.47,10.19,9.28,8.05,6.7,6.12,5.88,5.71,5.65,5.78,17.07,M2.9
1372,0.75,0.401,0.459,4.3888,1.42,51.306,35.463,35.456,33.654,34.786,35.546,-8.679,0.71,3.55,4.717,32.063,-1.31E-12,7.81787,7.81721,478000.0,3548,12.8,11.43,11.47,10.19,9.27,8.04,6.7,6.12,5.88,5.7,5.64,5.77,17.07,M2.9
1373,0.75,0.402,0.46,4.3943,1.422,51.307,35.465,35.458,33.655,34.79,35.548,-8.678,0.71,3.551,4.717,32.065,-1.33E-12,7.8147,7.81403,476000.0,3556,12.78,11.41,11.44,10.16,9.25,8.03,6.69,6.1,5.87,5.69,5.63,5.77,17.11,M2.9
1374,0.75,0.403,0.461,4.3999,1.424,51.308,35.466,35.46,33.656,34.793,35.55,-8.676,0.712,3.551,4.716,32.068,-1.34E-12,7.81152,7.81085,474000.0,3556,12.77,11.4,11.43,10.16,9.24,8.02,6.68,6.1,5.86,5.69,5.63,5.76,17.11,M2.9
1375,0.75,0.404,0.462,4.4054,1.425,51.309,35.468,35.461,33.656,34.796,35.552,-8.673,0.716,3.551,4.716,32.07,-1.32E-12,7.80833,7.80765,471000.0,3556,12.77,11.4,11.43,10.15,9.24,8.02,6.68,6.09,5.86,5.68,5.62,5.76,17.11,M2.9
1376,0.75,0.405,0.462,4.4109,1.427,51.31,35.47,35.463,33.657,34.802,35.554,-8.671,0.709,3.551,4.715,32.072,-1.33E-12,7.80514,7.80446,468000.0,3556,12.77,11.4,11.43,10.15,9.24,8.02,6.68,6.09,5.86,5.68,5.62,5.76,17.11,M2.9
1377,0.75,0.406,0.463,4.4164,1.428,51.311,35.472,35.465,33.657,34.805,35.556,-8.67,0.711,3.551,4.715,32.074,-1.36E-12,7.80194,7.80125,468000.0,3556,12.76,11.39,11.43,10.15,9.23,8.01,6.67,6.09,5.85,5.68,5.62,5.75,17.11,M2.9
1378,0.75,0.407,0.464,4.422,1.43,51.312,35.473,35.467,33.658,34.808,35.558,-8.668,0.717,3.551,4.714,32.076,-1.36E-12,7.79872,7.79803,465000.0,3556,12.76,11.39,11.42,10.14,9.23,8.01,6.67,6.08,5.85,5.67,5.61,5.75,17.11,M2.9
1379,0.75,0.408,0.465,4.4275,1.432,51.313,35.475,35.468,33.659,34.812,35.56,-8.666,0.715,3.551,4.714,32.078,-1.38E-12,7.7955,7.7948,464000.0,3556,12.75,11.38,11.42,10.14,9.22,8.0,6.66,6.08,5.84,5.67,5.61,5.74,17.11,M2.9
1380,0.75,0.409,0.466,4.4331,1.433,51.315,35.477,35.47,33.659,34.815,35.562,-8.663,0.719,3.552,4.713,32.08,-1.36E-12,7.79226,7.79156,461000.0,3565,12.73,11.36,11.39,10.11,9.2,7.98,6.65,6.07,5.83,5.66,5.6,5.73,17.15,M2.9
1381,0.75,0.41,0.466,4.4386,1.435,51.316,35.478,35.472,33.66,34.82,35.565,-8.663,0.715,3.552,4.713,32.083,-1.39E-12,7.78902,7.78832,460000.0,3565,12.73,11.36,11.39,10.11,9.2,7.98,6.65,6.07,5.83,5.66,5.6,5.73,17.15,M2.9
1382,0.75,0.411,0.467,4.4442,1.436,51.317,35.48,35.473,33.66,34.822,35.566,-8.66,0.722,3.552,4.712,32.085,-1.39E-12,7.78576,7.78505,457000.0,3565,12.72,11.35,11.38,10.11,9.2,7.98,6.64,6.06,5.83,5.66,5.6,5.73,17.15,M2.9
1383,0.75,0.412,0.468,4.4498,1.438,51.318,35.482,35.475,33.661,34.827,35.569,-8.658,0.719,3.552,4.712,32.087,-1.4E-12,7.7825,7.78178,455000.0,3565,12.72,11.35,11.38,10.1,9.19,7.98,6.64,6.06,5.82,5.65,5.59,5.73,17.15,M2.9
1384,0.75,0.413,0.469,4.4553,1.44,51.319,35.483,35.477,33.662,34.83,35.571,-8.657,0.721,3.552,4.712,32.089,-1.41E-12,7.77923,7.7785,454000.0,3565,12.71,11.34,11.37,10.1,9.19,7.97,6.64,6.05,5.82,5.65,5.59,5.72,17.15,M2.9
1385,0.75,0.414,0.47,4.461,1.441,51.32,35.485,35.478,33.662,34.834,35.573,-8.654,0.723,3.552,4.711,32.091,-1.41E-12,7.77594,7.77521,451000.0,3565,12.71,11.34,11.37,10.09,9.18,7.97,6.63,6.05,5.81,5.64,5.58,5.72,17.15,M2.9
1386,0.75,0.415,0.471,4.4665,1.443,51.321,35.487,35.48,33.663,34.838,35.575,-8.652,0.721,3.553,4.711,32.093,-1.42E-12,7.77264,7.77191,449000.0,3573,12.68,11.31,11.34,10.07,9.16,7.95,6.62,6.03,5.8,5.63,5.57,5.71,17.19,M2.8
1387,0.75,0.416,0.471,4.4721,1.444,51.322,35.488,35.482,33.663,34.841,35.577,-8.651,0.723,3.553,4.71,32.095,-1.44E-12,7.76934,7.7686,448000.0,3573,12.68,11.31,11.34,10.07,9.16,7.95,6.62,6.03,5.8,5.63,5.57,5.71,17.19,M2.8
1388,0.75,0.417,0.472,4.4778,1.446,51.323,35.49,35.484,33.664,34.844,35.579,-8.649,0.727,3.553,4.71,32.098,-1.44E-12,7.76602,7.76527,446000.0,3573,12.68,11.31,11.34,10.06,9.15,7.94,6.61,6.03,5.8,5.63,5.57,5.7,17.19,M2.8
1389,0.75,0.418,0.473,4.4834,1.448,51.325,35.492,35.485,33.665,34.848,35.581,-8.647,0.726,3.553,4.709,32.1,-1.44E-12,7.76269,7.76193,443000.0,3573,12.67,11.3,11.33,10.06,9.15,7.94,6.61,6.02,5.79,5.62,5.56,5.7,17.19,M2.8
1390,0.75,0.419,0.474,4.489,1.449,51.326,35.493,35.487,33.665,34.853,35.583,-8.646,0.724,3.553,4.709,32.102,-1.46E-12,7.75935,7.75859,442000.0,3573,12.67,11.3,11.33,10.05,9.15,7.93,6.6,6.02,5.79,5.62,5.56,5.69,17.19,M2.8
1391,0.75,0.42,0.475,4.4947,1.451,51.327,35.495,35.489,33.666,34.855,35.585,-8.644,0.73,3.553,4.708,32.104,-1.47E-12,7.75599,7.75523,440000.0,3573,12.66,11.29,11.33,10.05,9.14,7.93,6.6,6.02,5.78,5.61,5.55,5.69,17.19,M2.8
1392,0.75,0.421,0.475,4.5003,1.453,51.328,35.497,35.49,33.666,34.859,35.587,-8.641,0.73,3.553,4.708,32.106,-1.47E-12,7.75263,7.75186,438000.0,3573,12.66,11.29,11.33,10.05,9.14,7.93,6.6,6.02,5.78,5.61,5.55,5.69,17.19,M2.8
1393,0.75,0.422,0.476,4.506,1.454,51.329,35.498,35.492,33.667,34.863,35.589,-8.64,0.729,3.554,4.707,32.108,-1.49E-12,7.74925,7.74848,437000.0,3581,12.64,11.27,11.3,10.02,9.12,7.91,6.59,6.0,5.77,5.6,5.55,5.68,17.23,M2.8
1394,0.75,0.423,0.477,4.5117,1.456,51.33,35.5,35.493,33.667,34.865,35.59,-8.638,0.734,3.554,4.707,32.11,-1.48E-12,7.74586,7.74508,434000.0,3581,12.63,11.26,11.29,10.02,9.11,7.91,6.58,6.0,5.77,5.6,5.54,5.68,17.23,M2.8
1395,0.75,0.424,0.478,4.5173,1.457,51.331,35.502,35.495,33.668,34.87,35.593,-8.636,0.73,3.554,4.706,32.112,-1.5E-12,7.74246,7.74167,432000.0,3581,12.63,11.26,11.29,10.01,9.11,7.9,6.58,5.99,5.76,5.59,5.54,5.67,17.23,M2.8
1396,0.75,0.425,0.479,4.523,1.459,51.332,35.503,35.497,33.668,34.873,35.595,-8.635,0.733,3.554,4.706,32.115,-1.51E-12,7.73905,7.73825,431000.0,3581,12.62,11.25,11.28,10.01,9.1,7.9,6.57,5.99,5.76,5.59,5.53,5.67,17.23,M2.8
1397,0.75,0.426,0.48,4.5287,1.461,51.333,35.505,35.498,33.669,34.876,35.597,-8.634,0.735,3.554,4.705,32.117,-1.53E-12,7.73562,7.73482,430000.0,3581,12.62,11.25,11.28,10.01,9.1,7.89,6.57,5.98,5.75,5.59,5.53,5.66,17.23,M2.8
1398,0.75,0.427,0.48,4.5345,1.462,51.334,35.506,35.5,33.669,34.879,35.598,-8.632,0.741,3.554,4.705,32.119,-1.53E-12,7.73217,7.73136,428000.0,3581,12.62,11.25,11.28,10.01,9.1,7.89,6.57,5.98,5.75,5.59,5.53,5.66,17.23,M2.8
1399,0.75,0.428,0.481,4.5402,1.464,51.335,35.508,35.502,33.67,34.883,35.6,-8.629,0.739,3.555,4.704,32.121,-1.53E-12,7.72871,7.7279,426000.0,3589,12.59,11.22,11.25,9.98,9.08,7.88,6.56,5.97,5.74,5.58,5.52,5.66,17.27,M2.7
1400,0.75,0.429,0.482,4.546,1.466,51.336,35.51,35.503,33.67,34.887,35.602,-8.628,0.738,3.555,4.704,32.123,-1.55E-12,7.72524,7.72442,424000.0,3589,12.59,11.22,11.25,9.98,9.07,7.87,6.55,5.97,5.74,5.57,5.51,5.65,17.27,M2.7
1401,0.75,0.43,0.483,4.5517,1.467,51.338,35.511,35.505,33.671,34.89,35.604,-8.626,0.741,3.555,4.703,32.125,-1.56E-12,7.72176,7.72093,423000.0,3589,12.58,11.21,11.24,9.97,9.07,7.87,6.55,5.96,5.73,5.57,5.51,5.65,17.27,M2.7
1402,0.75,0.431,0.484,4.5575,1.469,51.339,35.513,35.506,33.671,34.893,35.606,-8.624,0.743,3.555,4.703,32.127,-1.56E-12,7.71826,7.71742,421000.0,3589,12.58,11.21,11.24,9.97,9.06,7.86,6.54,5.96,5.73,5.56,5.51,5.64,17.27,M2.7
1403,0.75,0.432,0.485,4.5633,1.471,51.34,35.514,35.508,33.672,34.897,35.608,-8.623,0.741,3.555,4.702,32.13,-1.58E-12,7.71475,7.71391,420000.0,3589,12.57,11.2,11.24,9.96,9.06,7.86,6.54,5.95,5.72,5.56,5.5,5.64,17.27,M2.7
